epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.9077,3.04241,4.74017,4.09121,0.00218,0.57562,0.00432,0.00116,2.51116,3.93538,3.7769,0.0033287,0.0033287,0.0033287
2,159.399,2.096,3.86906,2.81054,0.29889,0.10574,0.05159,0.01793,2.17661,3.48036,3.05727,0.00659608,0.00659608,0.00659608
3,233.82,1.84908,3.45647,2.41128,0.46346,0.18592,0.0738,0.02623,2.14942,3.53069,3.10032,0.00979746,0.00979746,0.00979746
4,306.262,1.76639,3.26614,2.30442,0.43092,0.1782,0.0973,0.04077,2.00553,3.23379,2.80482,0.009703,0.009703,0.009703
5,380.021,1.70103,3.11347,2.21192,0.47652,0.20547,0.16087,0.07584,1.94311,2.8303,2.67363,0.009604,0.009604,0.009604
6,449.635,1.67514,3.01707,2.15791,0.37502,0.24807,0.21,0.10023,1.93196,2.76302,2.61868,0.009505,0.009505,0.009505
7,522.174,1.64778,2.91327,2.11603,0.32439,0.29021,0.24251,0.12551,1.81258,2.56159,2.47332,0.009406,0.009406,0.009406
8,595.043,1.61765,2.8207,2.06865,0.40513,0.35271,0.29758,0.15717,1.80524,2.45597,2.4136,0.009307,0.009307,0.009307
9,667.959,1.61198,2.74725,2.04113,0.26121,0.37392,0.33122,0.17063,1.81288,2.30798,2.42753,0.009208,0.009208,0.009208
10,740.382,1.58125,2.68705,2.01721,0.3565,0.40005,0.34336,0.17517,1.7453,2.35774,2.38213,0.009109,0.009109,0.009109
11,814.073,1.56653,2.63004,1.99862,0.36498,0.36328,0.34622,0.17865,1.78831,2.31669,2.39339,0.00901,0.00901,0.00901
12,888.189,1.55937,2.57931,1.99672,0.33075,0.42164,0.37374,0.20303,1.73651,2.1694,2.31237,0.008911,0.008911,0.008911
13,959.759,1.54421,2.52414,1.96696,0.41373,0.40832,0.36774,0.20118,1.73069,2.12304,2.31426,0.008812,0.008812,0.008812
14,1031.97,1.53025,2.47627,1.95219,0.41004,0.47108,0.43869,0.23704,1.7111,1.96928,2.30877,0.008713,0.008713,0.008713
15,1105.56,1.52676,2.42086,1.94292,0.43782,0.44824,0.42896,0.22848,1.72388,2.00656,2.30061,0.008614,0.008614,0.008614
16,1177.47,1.5113,2.38305,1.92589,0.4996,0.50364,0.45918,0.24729,1.67896,1.91015,2.23977,0.008515,0.008515,0.008515
17,1250.06,1.50831,2.33946,1.91697,0.51388,0.46815,0.47268,0.24935,1.68922,1.95236,2.27386,0.008416,0.008416,0.008416
18,1324.49,1.50398,2.29243,1.9103,0.52893,0.49384,0.51371,0.28302,1.66448,1.78676,2.25739,0.008317,0.008317,0.008317
19,1397.09,1.49131,2.2729,1.90873,0.55503,0.52114,0.51932,0.28702,1.66035,1.78096,2.22645,0.008218,0.008218,0.008218
20,1470.64,1.49195,2.24311,1.89894,0.56566,0.54073,0.54636,0.29685,1.66395,1.74542,2.22979,0.008119,0.008119,0.008119
21,1544.3,1.4812,2.21509,1.89283,0.61984,0.51243,0.54893,0.29707,1.66986,1.72738,2.25253,0.00802,0.00802,0.00802
22,1618.92,1.47925,2.17523,1.88946,0.56915,0.53113,0.55423,0.30506,1.65473,1.70462,2.20642,0.007921,0.007921,0.007921
23,1692.96,1.45375,2.13255,1.87215,0.62491,0.52603,0.56426,0.31376,1.62473,1.69809,2.19445,0.007822,0.007822,0.007822
24,1767.74,1.46306,2.12078,1.88007,0.58308,0.56867,0.58722,0.32529,1.62454,1.64209,2.19607,0.007723,0.007723,0.007723
25,1840.42,1.45509,2.07031,1.86426,0.62809,0.55176,0.58432,0.32367,1.62464,1.6304,2.17918,0.007624,0.007624,0.007624
26,1909.95,1.44308,2.06225,1.86206,0.61885,0.57739,0.59491,0.33385,1.61014,1.62464,2.19052,0.007525,0.007525,0.007525
27,1985.18,1.44331,2.02434,1.85329,0.63735,0.56747,0.60064,0.33456,1.62982,1.63313,2.18255,0.007426,0.007426,0.007426
28,2058.38,1.44032,2.00864,1.85331,0.67113,0.58521,0.61105,0.35451,1.60067,1.52752,2.16474,0.007327,0.007327,0.007327
29,2130.48,1.43294,1.9791,1.8464,0.62166,0.57542,0.60975,0.34731,1.60148,1.56022,2.17678,0.007228,0.007228,0.007228
30,2224.04,1.43051,1.96326,1.84146,0.66963,0.58649,0.61827,0.34504,1.60375,1.52249,2.16746,0.007129,0.007129,0.007129
31,2333.35,1.42886,1.94754,1.84296,0.69582,0.5974,0.63247,0.3593,1.58854,1.47018,2.14585,0.00703,0.00703,0.00703
32,2443.9,1.42079,1.92126,1.83252,0.67767,0.60697,0.63315,0.35505,1.60412,1.52339,2.15377,0.006931,0.006931,0.006931
33,2553.22,1.41583,1.91332,1.83085,0.68539,0.60294,0.63914,0.36412,1.58749,1.4968,2.14246,0.006832,0.006832,0.006832
34,2662.7,1.40498,1.89099,1.81882,0.66556,0.60553,0.63509,0.36323,1.58382,1.46776,2.14253,0.006733,0.006733,0.006733
35,2771.52,1.41359,1.86255,1.82083,0.69426,0.61362,0.64985,0.37734,1.57917,1.43739,2.14898,0.006634,0.006634,0.006634
36,2880.8,1.40207,1.86142,1.81131,0.71046,0.60793,0.65571,0.37999,1.56468,1.43354,2.11868,0.006535,0.006535,0.006535
37,2989.35,1.40196,1.84982,1.8103,0.70237,0.60395,0.64986,0.37635,1.55652,1.44532,2.10225,0.006436,0.006436,0.006436
38,3083.18,1.39767,1.81575,1.80541,0.73921,0.59956,0.66616,0.38216,1.57803,1.40018,2.11758,0.006337,0.006337,0.006337
39,3178.34,1.38784,1.81725,1.80348,0.69901,0.63507,0.66911,0.38407,1.56097,1.38852,2.10137,0.006238,0.006238,0.006238
40,3284.7,1.38584,1.78427,1.79722,0.7197,0.62911,0.67557,0.39179,1.56746,1.38258,2.10554,0.006139,0.006139,0.006139
41,3392.42,1.38022,1.7784,1.79502,0.71999,0.63184,0.67418,0.39015,1.56432,1.37291,2.10518,0.00604,0.00604,0.00604
42,3500.67,1.37027,1.76231,1.78482,0.69987,0.63292,0.67262,0.38746,1.55098,1.37077,2.09316,0.005941,0.005941,0.005941
43,3608.65,1.37463,1.74348,1.78792,0.72661,0.62631,0.67606,0.39333,1.5445,1.38265,2.08829,0.005842,0.005842,0.005842
44,3717.11,1.37046,1.74627,1.78261,0.73184,0.62969,0.67384,0.39351,1.55369,1.37123,2.09634,0.005743,0.005743,0.005743
45,3825.51,1.3619,1.71756,1.77698,0.75665,0.6385,0.68246,0.39833,1.55051,1.33888,2.09325,0.005644,0.005644,0.005644
46,3934.27,1.35921,1.70918,1.77586,0.75311,0.64112,0.68281,0.39984,1.54885,1.34144,2.09079,0.005545,0.005545,0.005545
47,4042.32,1.35594,1.70875,1.77834,0.7769,0.62238,0.68621,0.40273,1.54886,1.33202,2.0907,0.005446,0.005446,0.005446
48,4148.06,1.33711,1.69049,1.76152,0.77655,0.61833,0.68906,0.40397,1.54034,1.33773,2.08188,0.005347,0.005347,0.005347
49,4256.06,1.35124,1.67067,1.76534,0.76045,0.62672,0.68174,0.40138,1.54727,1.3418,2.08773,0.005248,0.005248,0.005248
50,4365.21,1.34534,1.6666,1.76561,0.71709,0.64912,0.67842,0.40552,1.54332,1.32699,2.08495,0.005149,0.005149,0.005149
51,4472.75,1.34754,1.65759,1.76223,0.74056,0.63944,0.68477,0.40459,1.53696,1.30864,2.0812,0.00505,0.00505,0.00505
52,4580.72,1.33503,1.63252,1.74971,0.75989,0.62279,0.68898,0.40612,1.53529,1.30306,2.07674,0.004951,0.004951,0.004951
53,4688.49,1.33305,1.62283,1.75037,0.72269,0.64454,0.68608,0.41052,1.52229,1.29827,2.06714,0.004852,0.004852,0.004852
54,4796.47,1.33581,1.62385,1.75666,0.74731,0.63194,0.68878,0.40938,1.52928,1.2926,2.07658,0.004753,0.004753,0.004753
55,4904.41,1.33375,1.5995,1.75127,0.76529,0.6484,0.69829,0.41525,1.52506,1.27112,2.06969,0.004654,0.004654,0.004654
56,5007.85,1.31225,1.58883,1.74251,0.74486,0.65188,0.69538,0.41218,1.53356,1.27602,2.07749,0.004555,0.004555,0.004555
