epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.054,1.46167,3.76888,1.83529,0.26165,0.33114,0.26915,0.11846,1.80245,2.55634,2.37151,0.00333102,0.00333102,0.00333102
2,263.103,1.52084,3.06424,1.8571,0.38546,0.40937,0.37002,0.16901,1.82999,2.26426,2.36369,0.00659837,0.00659837,0.00659837
3,380.849,1.57914,2.94268,1.90953,0.58033,0.28303,0.3003,0.1343,1.92992,2.68465,2.5443,0.00979973,0.00979973,0.00979973
4,500.77,1.63356,2.83854,1.93879,0.38435,0.35376,0.30858,0.14421,1.89059,2.5081,2.42319,0.009703,0.009703,0.009703
5,617.766,1.59139,2.61846,1.89565,0.50256,0.42979,0.43856,0.21333,1.82864,2.05861,2.36934,0.009604,0.009604,0.009604
6,737.333,1.56093,2.46765,1.87182,0.44038,0.45621,0.42613,0.22463,1.74851,2.02638,2.30154,0.009505,0.009505,0.009505
7,855.746,1.53856,2.34489,1.8456,0.51384,0.47014,0.46241,0.24818,1.71716,2.40142,2.26469,0.009406,0.009406,0.009406
8,976.557,1.51732,2.25645,1.82164,0.5819,0.56093,0.54781,0.29402,1.66637,1.75032,2.20114,0.009307,0.009307,0.009307
9,1081.92,1.49492,2.17793,1.80606,0.62614,0.5606,0.58471,0.31882,1.62673,1.65209,2.15056,0.009208,0.009208,0.009208
10,1203.86,1.48736,2.1128,1.78926,0.63288,0.53277,0.56643,0.31673,1.63248,1.7521,2.12765,0.009109,0.009109,0.009109
11,1325.49,1.47773,2.05611,1.78381,0.65543,0.5783,0.61735,0.34246,1.64205,1.54817,2.15006,0.00901,0.00901,0.00901
12,1446.82,1.45141,1.98538,1.76375,0.71337,0.57687,0.62443,0.34529,1.60355,1.52297,2.09714,0.008911,0.008911,0.008911
13,1570.5,1.44293,1.95427,1.7584,0.6915,0.57733,0.61704,0.3542,1.59859,1.51224,2.08459,0.008812,0.008812,0.008812
14,1693.36,1.42981,1.89921,1.74648,0.72836,0.60236,0.65722,0.36228,1.60575,1.41145,2.08082,0.008713,0.008713,0.008713
15,1814.83,1.41951,1.85954,1.73792,0.72908,0.62315,0.67677,0.38443,1.57599,1.37825,2.0754,0.008614,0.008614,0.008614
16,1923.71,1.42073,1.85172,1.73541,0.72304,0.60924,0.66529,0.38152,1.57504,1.41159,2.08578,0.008515,0.008515,0.008515
17,2039.33,1.40207,1.79261,1.72069,0.68976,0.61472,0.65596,0.37981,1.54794,1.35296,2.03609,0.008416,0.008416,0.008416
18,2129.87,1.39804,1.7599,1.71404,0.74174,0.64283,0.69127,0.39819,1.53174,1.30174,2.01964,0.008317,0.008317,0.008317
19,2227.29,1.386,1.73194,1.70881,0.7343,0.62953,0.68518,0.40223,1.50342,1.32551,2.00137,0.008218,0.008218,0.008218
20,2347.19,1.38422,1.70589,1.70555,0.75873,0.65054,0.6918,0.3996,1.55465,1.34465,2.0358,0.008119,0.008119,0.008119
21,2466.91,1.3812,1.6987,1.70177,0.79044,0.6495,0.70343,0.40055,1.56649,1.24063,2.06349,0.00802,0.00802,0.00802
22,2588.8,1.37458,1.65713,1.69351,0.76511,0.65896,0.71097,0.41153,1.52405,1.21768,2.00054,0.007921,0.007921,0.007921
23,2711.45,1.36394,1.62812,1.68607,0.75486,0.6667,0.7149,0.41468,1.51784,1.23225,1.99709,0.007822,0.007822,0.007822
24,2834.63,1.36322,1.61049,1.68669,0.7597,0.66658,0.7122,0.42083,1.52213,1.22074,2.00526,0.007723,0.007723,0.007723
25,2956.8,1.35926,1.60019,1.67706,0.80487,0.65458,0.71715,0.42162,1.52166,1.22678,2.01342,0.007624,0.007624,0.007624
