epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.2285,1.44781,3.80259,1.81485,0.3318,0.05256,0.19089,0.10798,1.50948,2.74463,2.13275,0.000206019,0.000206019,0.000206019
2,121.185,1.43154,2.76204,1.75422,0.44917,0.14992,0.29214,0.17191,1.69982,2.74735,2.25646,0.00041025,0.00041025,0.00041025
3,175.577,1.43605,2.35596,1.7436,0.58678,0.13215,0.35039,0.21351,1.77141,2.69061,2.35967,0.000610356,0.000610356,0.000610356
4,231.845,1.44034,2.12849,1.73999,0.57295,0.38626,0.49334,0.28065,1.72781,2.1367,2.26638,0.000606437,0.000606437,0.000606437
5,290.018,1.41085,1.93616,1.71141,0.57744,0.51753,0.55484,0.31945,1.6604,2.05441,2.21716,0.00060025,0.00060025,0.00060025
6,345.697,1.38366,1.78911,1.68775,0.66322,0.31677,0.48663,0.29201,1.7005,2.19192,2.22412,0.000594062,0.000594062,0.000594062
7,401.099,1.38183,1.69118,1.67374,0.63614,0.55273,0.62941,0.37754,1.58557,1.57645,2.11375,0.000587875,0.000587875,0.000587875
8,457.504,1.37311,1.62523,1.66945,0.59924,0.46525,0.54929,0.31256,1.72434,2.1776,2.24708,0.000581687,0.000581687,0.000581687
9,512.301,1.34322,1.55726,1.64562,0.69212,0.49014,0.61037,0.37599,1.60455,1.70106,2.10823,0.0005755,0.0005755,0.0005755
10,568.657,1.34093,1.50687,1.64183,0.65966,0.53071,0.61,0.37458,1.56386,1.69084,2.06914,0.000569313,0.000569313,0.000569313
11,624.079,1.32417,1.46044,1.62654,0.70036,0.56522,0.66311,0.39522,1.62922,1.4958,2.11466,0.000563125,0.000563125,0.000563125
12,680.661,1.31118,1.4113,1.62316,0.65963,0.52967,0.62266,0.37884,1.56078,1.59729,2.06644,0.000556938,0.000556938,0.000556938
