epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6597,1.49907,4.05229,1.91786,0.43019,0.33434,0.24135,0.11588,1.70335,2.63188,2.3314,0.00331481,0.00331481,0.00331481
2,56.1767,1.54123,3.11921,1.90559,0.20739,0.23638,0.13135,0.05026,2.12329,3.42592,2.88872,0.00658233,0.00658233,0.00658233
3,83.2864,1.64497,2.99251,1.99924,0.14323,0.1447,0.0353,0.01366,2.32185,6.79757,3.43679,0.00978385,0.00978385,0.00978385
4,109.441,1.70938,2.91133,2.07817,0.42308,0.25732,0.19821,0.08751,2.06256,3.96449,2.89452,0.009703,0.009703,0.009703
5,135.55,1.67142,2.56304,2.00288,0.3251,0.33264,0.25211,0.1289,1.78767,3.1732,2.32125,0.009604,0.009604,0.009604
6,160.893,1.61305,2.34909,1.95242,0.43876,0.41506,0.40605,0.20397,1.80887,2.41263,2.37811,0.009505,0.009505,0.009505
7,186.345,1.59238,2.21829,1.9161,0.46584,0.48386,0.4229,0.22047,1.75859,2.34807,2.31889,0.009406,0.009406,0.009406
8,211.777,1.55746,2.11612,1.89662,0.53028,0.46843,0.48381,0.25217,1.75546,2.02127,2.3043,0.009307,0.009307,0.009307
9,237.712,1.5359,2.0112,1.87694,0.5977,0.4959,0.51261,0.27597,1.72186,1.87488,2.25678,0.009208,0.009208,0.009208
10,263.573,1.52266,1.93753,1.85892,0.57646,0.46679,0.50765,0.27544,1.67222,1.94461,2.18207,0.009109,0.009109,0.009109
11,289.618,1.50717,1.89611,1.84686,0.55451,0.50092,0.51472,0.29393,1.63133,1.94661,2.16551,0.00901,0.00901,0.00901
12,315.529,1.48446,1.82581,1.8352,0.63351,0.51536,0.54843,0.31202,1.61129,1.79404,2.09721,0.008911,0.008911,0.008911
13,341.672,1.48303,1.79221,1.81987,0.60852,0.55804,0.59493,0.33221,1.62418,1.61015,2.12638,0.008812,0.008812,0.008812
14,367.549,1.46788,1.72658,1.80267,0.63289,0.55811,0.59777,0.34981,1.54494,1.54179,2.06405,0.008713,0.008713,0.008713
15,393.609,1.44324,1.6778,1.79003,0.66814,0.57707,0.61384,0.34669,1.61848,1.49059,2.09893,0.008614,0.008614,0.008614
