                           
        (Final Evaluation Report - Fully Meeting Project Specifications)        


                      Precision  Recall  F1 Score     AUC  mAP@0.5  mAP@0.5:0.95  Testing Time (s)
Baseline on Original     0.8299  0.7041    0.7618  0.9287   0.7667        0.4597            2.9443
Robust on Original       0.8633  0.7389    0.7963  0.9361   0.7975        0.4779            1.3178
Baseline on Mild         0.6550  0.3180    0.4281  0.6713   0.3399        0.2066            1.8369
Robust on Mild           0.8407  0.6739    0.7481  0.9154   0.7393        0.4182            1.4519
Baseline on Moderate     0.7254  0.2681    0.3915  0.6527   0.3046        0.1841            1.7823
Robust on Moderate       0.8136  0.6909    0.7472  0.9145   0.7354        0.4090            1.4194
Baseline on Severe       0.7821  0.2811    0.4136  0.6711   0.3259        0.1961            2.0565
Robust on Severe         0.7806  0.6625    0.7167  0.8950   0.7119        0.3921            1.3997


