epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.717,1.39816,3.4904,1.82788,0.57203,0.47918,0.49468,0.26143,1.64402,2.02103,2.14758,0.0033287,0.0033287,0.0033287
2,204.732,1.3888,2.63205,1.78408,0.49298,0.43166,0.41373,0.2176,1.70803,2.21178,2.25418,0.00659608,0.00659608,0.00659608
3,305.11,1.44756,2.52756,1.83638,0.30905,0.28832,0.24213,0.11155,2.05267,2.72176,2.6611,0.00979746,0.00979746,0.00979746
4,405.69,1.45962,2.43112,1.84309,0.33264,0.31364,0.26477,0.11293,2.13444,2.90375,2.90872,0.009703,0.009703,0.009703
5,505.671,1.40073,2.21264,1.79571,0.59355,0.52694,0.54829,0.26562,1.83296,1.71992,2.38361,0.009604,0.009604,0.009604
6,605.665,1.37552,2.08505,1.76781,0.66274,0.56768,0.60129,0.32509,1.66232,1.58195,2.19945,0.009505,0.009505,0.009505
7,706.136,1.35082,1.97772,1.74302,0.71618,0.58557,0.63937,0.36033,1.57456,1.46992,2.10636,0.009406,0.009406,0.009406
8,806.477,1.32807,1.91592,1.72602,0.78177,0.64935,0.70556,0.40151,1.55328,1.27136,2.07564,0.009307,0.009307,0.009307
9,906.826,1.31631,1.86678,1.71605,0.74259,0.65128,0.69512,0.40199,1.53771,1.28371,2.04856,0.009208,0.009208,0.009208
10,1007.49,1.30985,1.81345,1.70312,0.80587,0.6679,0.72964,0.42751,1.51239,1.15682,2.01139,0.009109,0.009109,0.009109
11,1108.01,1.29514,1.77232,1.69197,0.79681,0.66787,0.74621,0.43835,1.50469,1.13741,2.00051,0.00901,0.00901,0.00901
12,1208.52,1.2911,1.74277,1.686,0.81012,0.67439,0.74573,0.43774,1.49593,1.11656,1.98715,0.008911,0.008911,0.008911
13,1308.89,1.28419,1.70446,1.67746,0.81085,0.6997,0.7578,0.44785,1.49192,1.09833,1.98475,0.008812,0.008812,0.008812
14,1409.26,1.27497,1.682,1.67157,0.80595,0.72578,0.77097,0.45709,1.46872,1.05495,1.96517,0.008713,0.008713,0.008713
15,1509.59,1.2683,1.65655,1.66448,0.81778,0.72305,0.76475,0.4577,1.46915,1.0549,1.96533,0.008614,0.008614,0.008614
16,1610.35,1.26011,1.63709,1.65795,0.83915,0.7167,0.76774,0.45776,1.48638,1.04173,1.97443,0.008515,0.008515,0.008515
17,1708.34,1.25906,1.61782,1.65586,0.85465,0.70227,0.77281,0.46158,1.4805,1.02721,1.97451,0.008416,0.008416,0.008416
18,1808.03,1.25453,1.59643,1.6505,0.8458,0.72127,0.77829,0.467,1.48003,1.01855,1.96869,0.008317,0.008317,0.008317
19,1905.73,1.25286,1.58709,1.64992,0.85032,0.7235,0.78431,0.46832,1.48618,1.00738,1.96916,0.008218,0.008218,0.008218
20,2005.31,1.24528,1.56182,1.64223,0.84971,0.72649,0.78346,0.4696,1.48133,1.00369,1.96701,0.008119,0.008119,0.008119
21,2105.73,1.2429,1.55097,1.63596,0.85258,0.72355,0.78122,0.46691,1.48208,1.00262,1.96662,0.00802,0.00802,0.00802
22,2205.95,1.23014,1.52882,1.62945,0.84134,0.73542,0.78887,0.47051,1.47471,1.00119,1.96124,0.007921,0.007921,0.007921
23,2306.96,1.22971,1.51966,1.62522,0.8518,0.73234,0.78817,0.47117,1.47557,0.99978,1.96358,0.007822,0.007822,0.007822
24,2406.06,1.22956,1.50432,1.62591,0.84761,0.73244,0.78773,0.47145,1.47535,0.99134,1.9636,0.007723,0.007723,0.007723
25,2506.33,1.22284,1.48878,1.62082,0.84318,0.73341,0.78736,0.47152,1.47627,0.99088,1.96388,0.007624,0.007624,0.007624
26,2606.96,1.22092,1.48316,1.61717,0.84272,0.7411,0.78727,0.46963,1.47538,0.9891,1.96397,0.007525,0.007525,0.007525
27,2705.11,1.21979,1.47278,1.61597,0.84392,0.73758,0.78599,0.47119,1.4731,0.98953,1.96427,0.007426,0.007426,0.007426
28,2805.67,1.2122,1.46128,1.60997,0.84421,0.73504,0.78722,0.47134,1.47116,0.9839,1.96151,0.007327,0.007327,0.007327
29,2906.23,1.21084,1.44847,1.60644,0.84658,0.73993,0.7875,0.47149,1.47107,0.98075,1.96117,0.007228,0.007228,0.007228
30,3006.98,1.20482,1.42761,1.60125,0.84629,0.73953,0.78832,0.47208,1.47125,0.97801,1.96156,0.007129,0.007129,0.007129
31,3107.5,1.20208,1.42521,1.60074,0.84724,0.73938,0.78807,0.47244,1.47043,0.97652,1.96051,0.00703,0.00703,0.00703
32,3206.21,1.19792,1.4131,1.59631,0.84639,0.73986,0.78833,0.47202,1.47116,0.97382,1.96236,0.006931,0.006931,0.006931
33,3306.78,1.19958,1.4103,1.59722,0.84989,0.73798,0.78882,0.47227,1.47213,0.97414,1.96505,0.006832,0.006832,0.006832
34,3407.51,1.19434,1.40337,1.59379,0.85616,0.73633,0.78777,0.47207,1.47348,0.97129,1.96552,0.006733,0.006733,0.006733
35,3507.92,1.19182,1.3977,1.588,0.85314,0.74008,0.78822,0.47168,1.47477,0.97017,1.9668,0.006634,0.006634,0.006634
36,3608.52,1.18713,1.37208,1.58322,0.8453,0.74088,0.78822,0.47067,1.47584,0.97056,1.96812,0.006535,0.006535,0.006535
37,3708.95,1.17994,1.3786,1.57972,0.8392,0.74601,0.7874,0.47062,1.47557,0.96773,1.96862,0.006436,0.006436,0.006436
38,3809.53,1.179,1.36827,1.57726,0.8382,0.74637,0.78942,0.47145,1.47674,0.96898,1.9699,0.006337,0.006337,0.006337
39,3910,1.17372,1.35332,1.57432,0.84,0.74926,0.79198,0.47108,1.47783,0.96932,1.97204,0.006238,0.006238,0.006238
40,4010.69,1.1695,1.34924,1.57238,0.83714,0.7501,0.79251,0.47067,1.47854,0.96864,1.97393,0.006139,0.006139,0.006139
41,4111.04,1.17383,1.33759,1.57321,0.8378,0.74772,0.79268,0.47171,1.48012,0.96654,1.97569,0.00604,0.00604,0.00604
42,4211.49,1.16788,1.32317,1.56672,0.84567,0.74743,0.79351,0.47214,1.48131,0.96571,1.97704,0.005941,0.005941,0.005941
43,4312,1.16343,1.32072,1.56239,0.84243,0.74667,0.7917,0.47279,1.4838,0.96408,1.9802,0.005842,0.005842,0.005842
44,4412.46,1.15631,1.31223,1.55616,0.83512,0.74625,0.79026,0.47213,1.4845,0.96549,1.98181,0.005743,0.005743,0.005743
45,4512.63,1.15815,1.30814,1.55517,0.84188,0.74005,0.79046,0.47088,1.48757,0.96567,1.98461,0.005644,0.005644,0.005644
46,4613.05,1.155,1.29449,1.55259,0.83749,0.74692,0.79054,0.47185,1.48768,0.9634,1.98479,0.005545,0.005545,0.005545
47,4713.9,1.15369,1.29825,1.5537,0.84002,0.74891,0.78967,0.47093,1.48684,0.963,1.98325,0.005446,0.005446,0.005446
